,Order_ID,Order_Date,Product_ID,Product_Category,Buyer_Gender,Buyer_Age,Order_Location,International_Shipping,Sales_Price,Shipping_Charges,Sales_per_Unit,Quantity,Total_Sales,Rating
0,189440,2024-07-21,BF1543,Clothing,Male,30,New Jersey,No,100,0,100,1,100,4
1,187385,2024-07-20,BF1543,Clothing,Male,32,Las Vegas,No,100,0,100,1,100,3
2,181844,2024-07-21,BF1544,Other,Female,26,Cardiff,Yes,9,40,49,1,49,2
3,197934,2024-08-19,BF1544,Other,Male,28,Pittsburgh,No,9,0,9,2,18,3
4,122470,2024-01-06,BF1545,Other,Female,19,Miami,No,10,0,10,3,30,5
5,199680,2024-06-01,BF1546,Clothing,Male,29,Sydney,Yes,118,100,218,1,218,1
6,130929,2024-03-06,BF1547,Ornaments,Male,32,Memphis,No,32,0,32,3,96,4
7,164427,2024-04-16,BF1547,Ornaments,Male,26,Miami,No,32,0,32,2,64,3
8,149510,2024-05-22,BF1545,Other,Female,26,New York,No,10,0,10,1,10,4
9,176280,2024-02-27,BF1548,Clothing,Male,20,Sydney,Yes,65,100,165,1,165,4
10,196659,2023-11-05,BF1546,Clothing,Female,34,Montreal,Yes,118,25,143,1,143,5
11,146245,2024-09-24,BF1548,Clothing,Male,21,Sacramento,No,65,0,65,1,65,1
12,150560,2024-10-04,BF1546,Clothing,Male,29,Las Vegas,No,118,0,118,3,354,5
13,138348,2024-01-26,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,2
14,138790,2024-05-13,BF1547,Ornaments,Male,24,Montreal,Yes,32,25,57,2,114,3
15,170025,2023-12-03,BF1550,Clothing,Male,34,Paris,Yes,97,50,147,1,147,5
16,168520,2024-09-23,BF1551,Ornaments,Female,31,San Antonio,No,15,0,15,3,45,2
17,165261,2023-12-13,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,5
18,182299,2024-03-26,BF1545,Other,Female,25,Cleveland,No,10,0,10,1,10,5
19,165196,2024-08-31,BF1548,Clothing,Male,20,London,Yes,65,40,105,2,210,2
20,153554,2024-09-01,BF1550,Clothing,Male,23,Cleveland,No,97,0,97,1,97,1
21,131552,2023-11-30,BF1548,Clothing,Male,26,Portland,No,65,0,65,1,65,4
22,146178,2024-06-04,BF1545,Other,Female,18,Detroit,No,10,0,10,2,20,3
23,138795,2024-06-02,BF1546,Clothing,Female,19,New Jersey,No,118,0,118,3,354,1
24,142933,2024-07-23,BF1550,Clothing,Male,19,New Jersey,No,97,0,97,4,388,3
25,188192,2024-10-31,BF1545,Other,Male,32,Cardiff,Yes,10,40,50,2,100,1
26,184678,2024-06-08,BF1551,Ornaments,Male,28,Sacramento,No,15,0,15,1,15,5
27,128904,2024-02-28,BF1543,Clothing,Male,22,Sydney,Yes,100,100,200,3,600,5
28,191045,2023-11-29,BF1550,Clothing,Male,20,Dublin,Yes,97,40,137,1,137,4
29,163054,2024-01-16,BF1548,Clothing,Male,30,Glasgow,Yes,65,40,105,4,420,1
30,121078,2023-12-13,BF1545,Other,Female,22,Austin,No,10,0,10,4,40,5
31,180876,2024-07-14,BF1544,Other,Male,31,Sacramento,No,9,0,9,1,9,4
32,155281,2024-02-26,BF1547,Ornaments,Male,22,Cleveland,No,32,0,32,3,96,5
33,183087,2024-02-16,BF1548,Clothing,Male,25,Austin,No,65,0,65,1,65,2
34,185910,2024-07-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,1,105,4
35,165100,2024-10-12,BF1545,Other,Male,29,Dublin,Yes,10,40,50,1,50,5
36,167831,2024-03-09,BF1547,Ornaments,Male,22,New Jersey,No,32,0,32,1,32,5
37,185069,2024-01-12,BF1544,Other,Male,32,Cleveland,No,9,0,9,1,9,4
38,153675,2024-05-30,BF1547,Ornaments,Male,31,Cardiff,Yes,32,40,72,5,360,5
39,169012,2024-06-10,BF1544,Other,Female,21,New York,No,9,0,9,1,9,2
40,185868,2024-01-14,BF1545,Other,Female,18,Pittsburgh,No,10,0,10,1,10,4
41,199507,2024-05-10,BF1545,Other,Male,22,Cleveland,No,10,0,10,2,20,3
